"PLAN_CTRL_CD","PLAN_CTRL_NUM","PLAN_SUB_CODE","PLAN_SUB_RECV_DT","DEEMED_SUBMITTED_DATE","NEPA_DETER_TYPE","PLAN_FNL_ACTN_CD","PLAN_FNL_ACTN_DT"
"N","8881","A",1/11/2007,1/24/2007,"CERA","A",1/24/2007
"N","8900","I",1/12/2007,1/29/2007,"CERA","M",2/13/2007
"R","4462","I",1/12/2007,2/20/2007,"CERA","A",2/22/2007
"R","4465","I",1/12/2007,2/12/2007,"CERA","X",3/19/2007
"R","4468","I",1/12/2007,2/12/2007,"CERA","A",2/23/2007
"R","4469","I",1/12/2007,2/12/2007,"CERA","A",2/23/2007
"R","4471","I",1/12/2007,2/12/2007,"CERA","A",5/1/2007
"R","4472","I",1/12/2007,2/12/2007,"CERA","A",2/23/2007
"R","4473","I",1/12/2007,2/12/2007,"CERA","A",2/23/2007
"R","4476","I",1/12/2007,2/12/2007,"CERA","A",3/1/2007
"R","4477","I",1/16/2007,1/31/2007,"CERA","A",1/31/2007
"R","4096","P",1/16/2007,1/31/2007,"","",
"R","4478","I",1/16/2007,1/26/2007,"CERA","A",1/26/2007
"R","4479","I",1/16/2007,,"","X",1/17/2007
"R","4437","A",12/29/2006,1/11/2007,"CERA","A",1/11/2007
"S","7011","A",1/3/2007,1/23/2007,"","A",1/23/2007
"N","8894","I",1/3/2007,1/18/2007,"CERA","A",2/15/2007
"N","8853","M",12/29/2006,1/3/2007,"","A",1/3/2007
"S","7008","A",1/3/2007,2/8/2007,"CERA","A",2/28/2007
"N","8889","A",1/4/2007,1/19/2007,"CER","M",1/26/2007
"S","6996","A",1/4/2007,1/4/2007,"","A",1/11/2007
"R","4449","I",1/4/2007,2/2/2007,"CERA","A",2/23/2007
"R","4450","I",1/4/2007,2/2/2007,"CERA","A",2/23/2007
"R","4451","I",1/4/2007,2/2/2007,"CERA","A",4/18/2007
"R","4452","I",1/4/2007,1/31/2007,"CERA","A",1/31/2007
"R","4453","I",1/4/2007,2/2/2007,"CERA","A",2/23/2007
"R","4439","I",12/26/2006,1/25/2007,"CERA","A",4/4/2007
"R","4437","I",12/26/2006,1/10/2007,"CERA","A",1/11/2007
"N","8840","M",1/5/2007,1/5/2007,"","A",1/5/2007
"S","7020","I",1/8/2007,1/8/2007,"","A",1/8/2007
"N","8895","I",1/8/2007,2/6/2007,"","A",11/15/2007
"S","6996","A",1/8/2007,1/8/2007,"","A",1/11/2007
"S","7014","A",1/9/2007,1/19/2007,"","A",1/19/2007
"R","4423","I",12/8/2006,1/9/2007,"CERA","A",1/9/2007
"N","8897","I",1/9/2007,1/31/2007,"CERA","A",3/13/2007
"S","6777","I",10/11/2005,11/8/2005,"CERA","A",3/3/2006
"S","7022","I",1/10/2007,1/22/2007,"CERA","A",1/22/2007
"S","5977","P",1/9/2007,1/16/2007,"","A",1/16/2007
"S","7005","A",12/20/2006,1/5/2007,"CER","A",1/12/2007
"N","8884","I",12/14/2006,12/29/2006,"CER","A",1/23/2007
"N","8887","I",12/20/2006,1/5/2007,"CER","A",2/16/2007
"S","7016","I",12/20/2006,1/22/2007,"CERA","A",2/13/2007
"R","4431","I",12/20/2006,1/22/2007,"CERA","A",2/14/2007
"R","4432","I",12/20/2006,1/22/2007,"CERA","A",3/13/2007
"R","4433","I",12/20/2006,1/22/2007,"CERA","A",2/1/2007
"R","4434","I",12/20/2006,1/22/2007,"CERA","A",2/14/2007
"R","4435","I",12/20/2006,1/5/2007,"CER","A",1/5/2007
"R","4436","I",12/20/2006,1/22/2007,"CERA","A",1/23/2007
"N","8889","I",12/20/2006,1/5/2007,"","M",1/26/2007
"N","8890","I",12/21/2006,1/8/2007,"CERA","A",2/5/2007
"S","7014","I",12/14/2006,1/19/2007,"CERA","A",1/19/2007
"N","8803","M",12/22/2006,12/26/2006,"","M",12/26/2006
"R","4438","I",12/26/2006,1/25/2007,"CERA","A",2/14/2007
"R","4441","I",12/26/2006,1/25/2007,"CERA","A",2/14/2007
"R","4442","I",12/26/2006,1/25/2007,"CERA","A",4/5/2007
"S","7005","I",11/27/2006,,"CERA","A",1/12/2007
"N","8891","I",12/26/2006,1/10/2007,"","A",2/9/2007
"N","8892","I",12/27/2006,1/26/2007,"CERA","A",1/29/2007
"R","4443","I",12/26/2006,1/10/2007,"CERA","A",1/25/2007
"R","4444","I",12/26/2006,1/25/2007,"CERA","A",2/16/2007
"N","8888","I",12/20/2006,1/5/2007,"CERA","M",2/2/2007
"R","4440","I",12/26/2006,1/8/2007,"CERA","A",1/8/2007
"R","4445","I",12/28/2006,1/29/2007,"CERA","A",4/11/2007
"R","4447","I",12/28/2006,1/29/2007,"CERA","A",2/22/2007
"R","4448","I",12/28/2006,1/29/2007,"CERA","A",4/13/2007
"R","4299","P",12/12/2006,12/17/2006,"","A",12/27/2006
"R","4422","I",12/8/2006,1/9/2007,"CERA","A",2/13/2007
"R","4385","I",11/27/2006,12/25/2006,"CERA","A",12/28/2006
