"MAX_PLAN_DT","PLAN_CTRL_CD","PLAN_CTRL_NUM"
3/24/1998,"N","6135"
3/24/1998,"S","4723"
3/26/1998,"N","6138"
4/1/1998,"S","4731"
4/1/1998,"S","4732"
4/2/1998,"S","4734"
4/7/1998,"N","6145"
2/20/1998,"N","6099"
2/25/1998,"N","6104"
2/27/1998,"S","4708"
3/2/1998,"S","4710"
3/2/1998,"S","4711"
3/5/1998,"N","6108"
3/10/1998,"S","4714"
3/10/1998,"N","6119"
3/10/1998,"N","6121"
3/13/1998,"N","6126"
3/16/1998,"S","4716"
3/16/1998,"N","6128"
3/16/1998,"N","6130"
2/4/1998,"S","4676"
2/20/1998,"S","4697"
2/20/1998,"N","6094"
1/13/1998,"N","6046"
1/16/1998,"S","4662"
1/16/1998,"N","6050"
1/16/1998,"N","6051"
1/20/1998,"N","6057"
1/23/1998,"N","6061"
12/9/1997,"R","3181"
12/9/1997,"S","4636"
12/9/1997,"N","6010"
12/15/1997,"N","6018"
12/15/1997,"N","6019"
12/22/1997,"S","4649"
11/10/1997,"N","5982"
11/10/1997,"N","5984"
11/13/1997,"S","4614"
11/13/1997,"N","5987"
11/13/1997,"N","5988"
11/17/1997,"S","4621"
11/21/1997,"S","4626"
11/21/1997,"N","5996"
11/24/1997,"N","5998"
11/25/1997,"N","5999"
11/26/1997,"N","6000"
10/31/1997,"N","5969"
11/3/1997,"S","4602"
11/5/1997,"S","4608"
9/29/1997,"N","5933"
10/2/1997,"N","5937"
10/7/1997,"N","5942"
10/14/1997,"N","5944"
10/14/1997,"S","4582"
10/14/1997,"N","5949"
10/16/1997,"S","4586"
9/2/1997,"N","5909"
9/2/1997,"S","4541"
9/4/1997,"S","4544"
9/5/1997,"R","3164"
9/19/1997,"S","4557"
7/30/1997,"N","5864"
8/4/1997,"N","5868"
8/5/1997,"N","5872"
8/11/1997,"N","5876"
8/11/1997,"N","5877"
8/11/1997,"N","5879"
8/13/1997,"N","5884"
8/18/1997,"N","5889"
8/18/1997,"N","5893"
7/7/1997,"N","5841"
7/14/1997,"S","4496"
7/15/1997,"S","4499"
7/21/1997,"S","4507"
7/23/1997,"R","3159"
7/25/1997,"S","4509"
7/30/1997,"S","4513"
6/11/1997,"S","4462"
6/12/1997,"N","5820"
6/23/1997,"S","4472"
6/30/1997,"S","4483"
5/27/1997,"S","4437"
5/28/1997,"S","4441"
5/28/1997,"S","4443"
6/3/1997,"S","4451"
6/4/1997,"N","5811"
6/4/1997,"N","5812"
4/29/1997,"S","4406"
4/30/1997,"S","4408"
5/1/1997,"N","5782"
5/5/1997,"N","5785"
5/7/1997,"N","5790"
5/12/1997,"N","5792"
5/12/1997,"S","4415"
5/12/1997,"S","4417"
5/12/1997,"S","4420"
11/12/1991,"R","2769"
11/13/1991,"N","4196"
11/14/1991,"S","2711"
10/30/1992,"N","4204"
12/18/1991,"S","2728"
12/20/1991,"N","4215"
9/25/1991,"R","2761"
10/15/1991,"S","2704"
11/1/1991,"N","4184"
8/12/1991,"N","4134"
8/15/1991,"N","4137"
8/21/1991,"N","4141"
8/28/1991,"N","4143"
9/3/1991,"N","4145"
8/28/1991,"S","2691"
9/13/1991,"R","2756"
9/17/1991,"N","4155"
6/19/1991,"N","4099"
6/20/1991,"N","4101"
6/24/1991,"S","2667"
7/5/1991,"N","4108"
7/10/1991,"N","4109"
7/10/1991,"N","4111"
7/16/1991,"S","2673"
7/17/1991,"N","4117"
7/23/1991,"R","2744"
7/30/1991,"N","4125"
8/2/1991,"R","2746"
5/9/1991,"R","2721"
5/30/1991,"R","2735"
6/10/1991,"S","2661"
6/10/1991,"N","4095"
6/17/1991,"S","2664"
4/12/1991,"N","4048"
4/17/1991,"N","4053"
5/7/1991,"N","4070"
5/8/1991,"N","4072"
5/8/1991,"S","2645"
2/27/1991,"S","2618"
3/12/1991,"R","2688"
3/12/1991,"R","2689"
3/14/1991,"N","4025"
3/18/1991,"S","2624"
3/20/1991,"N","4027"
3/25/1991,"R","2696"
3/27/1991,"R","2697"
3/27/1991,"N","4031"
4/5/1991,"R","2698"
4/10/1991,"N","4044"
1/31/1991,"S","2597"
2/5/1991,"N","3995"
2/6/1991,"S","2602"
2/6/1991,"N","4000"
2/8/1991,"S","2603"
2/11/1991,"S","2604"
2/13/1991,"S","2605"
2/14/1991,"R","2681"
2/15/1991,"S","2606"
2/15/1991,"N","4005"
2/19/1991,"N","4006"
2/19/1991,"N","4008"
2/25/1991,"S","2612"
3/1/1991,"N","4015"
3/4/1991,"N","4018"
1/2/1991,"S","2585"
1/8/1991,"N","3972"
1/8/1991,"S","2587"
1/9/1991,"S","2588"
1/11/1991,"S","2589"
1/15/1991,"R","2662"
1/17/1991,"R","2664"
1/25/1991,"R","2668"
1/31/1991,"N","3990"
12/3/1990,"S","2564"
12/3/1990,"N","3935"
12/10/1990,"N","3944"
12/17/1990,"S","2571"
12/17/1990,"S","2572"
12/21/1990,"S","2575"
12/27/1990,"S","2582"
10/29/1990,"N","3896"
10/30/1990,"R","2635"
10/31/1990,"N","3897"
10/31/1990,"N","3899"
10/31/1990,"S","2557"
11/2/1990,"N","3903"
11/8/1990,"N","3908"
11/15/1990,"N","3914"
11/29/1990,"N","3929"
10/1/1990,"R","2616"
10/2/1990,"N","3869"
10/3/1990,"S","2545"
10/5/1990,"R","2619"
10/9/1990,"R","2622"
10/12/1990,"N","3878"
10/15/1990,"N","3882"
10/17/1990,"N","3885"
10/24/1990,"N","3888"
9/5/1990,"N","3835"
9/10/1990,"R","2602"
9/26/1990,"S","2540"
8/2/1990,"N","3801"
8/20/1990,"N","3814"
8/24/1990,"N","3823"
8/29/1990,"S","2530"
7/3/1990,"N","3764"
7/9/1990,"N","3767"
7/27/1990,"N","3791"
6/20/1990,"N","3739"
6/27/1990,"N","3750"
6/28/1990,"N","3752"
6/28/1990,"N","3756"
7/3/1990,"N","3761"
5/11/1990,"S","2471"
5/11/1990,"S","2473"
5/11/1990,"N","3692"
5/14/1990,"R","2567"
5/22/1990,"S","2475"
5/23/1990,"R","2572"
5/29/1990,"N","3711"
4/9/1990,"N","3669"
4/12/1990,"S","2446"
4/17/1990,"N","3676"
4/18/1990,"S","2449"
4/20/1990,"N","3679"
4/23/1990,"R","2559"
4/24/1990,"S","2459"
4/26/1990,"N","3682"
5/2/1990,"N","3687"
5/9/1990,"N","3691"
3/19/1990,"N","3645"
3/29/1990,"N","3656"
3/30/1990,"N","3658"
4/3/1990,"N","3660"
4/5/1990,"N","3666"
4/5/1990,"S","2439"
2/15/1990,"N","3615"
2/20/1990,"R","2520"
2/21/1990,"S","2414"
2/26/1990,"R","2524"
2/26/1990,"N","3623"
2/28/1990,"R","2531"
3/7/1990,"R","2535"
3/12/1990,"R","2537"
3/15/1990,"R","2541"
1/22/1990,"S","2398"
1/22/1990,"N","3590"
1/22/1990,"S","2400"
1/25/1990,"N","3594"
1/26/1990,"N","3596"
1/30/1990,"S","2403"
1/31/1990,"S","2405"
2/1/1990,"N","3605"
2/2/1990,"S","2406"
2/5/1990,"S","2407"
2/6/1990,"R","2518"
2/6/1990,"N","3608"
2/13/1990,"S","2411"
10/31/1983,"N","1394"
1/25/1983,"R","754"
10/1/1981,"N","811"
11/5/1986,"S","1894"
2/8/1980,"N","447"
12/13/1984,"N","1949"
9/9/1985,"N","2288"
